Factor,MovieID,Title,Genres,loading
0,2674,"Loss of Sexual Innocence, The (1999)",Drama,0.7940652186117004
0,3725,American Pop (1981),Animation|Musical,0.7036725210469243
0,3692,Class of Nuke 'Em High (1986),Comedy|Horror,0.6560618361054631
0,3900,Crime and Punishment in Suburbia (2000),Comedy|Drama,0.6334517752548208
0,2255,Young Doctors in Love (1982),Comedy,0.6310213394375528
1,501,Naked (1993),Drama,0.6981654487039767
1,2586,"Goodbye, Lover (1999)",Comedy|Crime|Thriller,0.6088592975243714
1,123,Chungking Express (1994),Drama|Mystery|Romance,0.6045334430455194
1,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,0.5750703503292485
1,3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Comedy|Horror,0.5602068495241698
2,2479,Gloria (1999),Drama|Thriller,0.8269920245251421
2,84,Last Summer in the Hamptons (1995),Comedy|Drama,0.7731946872717623
2,3715,Burglar (1987),Comedy,0.7243688027722945
2,2164,Surf Nazis Must Die (1987),Drama,0.6705729270806109
2,3594,Center Stage (2000),Drama,0.6385908573548281
3,3845,And God Created Woman (Et Dieu&#8230;Créa la Femme) (1956),Drama,0.6816240823210494
3,289,Only You (1994),Comedy|Romance,0.6276385003570625
3,2283,"Sheltering Sky, The (1990)",Drama,0.6218921200164288
3,2545,Relax... It's Just Sex (1998),Comedy,0.5806743341781028
3,279,My Family (1995),Drama,0.5482821878514997
4,2128,Safe Men (1998),Comedy,0.7516291581096929
4,2372,Fletch Lives (1989),Comedy,0.6334710796942228
4,3326,What Planet Are You From? (2000),Comedy|Sci-Fi,0.6260787315965409
4,104,Happy Gilmore (1996),Comedy,0.6190339592409988
4,3596,Screwed (2000),Comedy,0.5702651705195948
